flight_id,barrier,group,icao_type,registration,callsign,start_airport,start_elev,end_airport,end_elev,date,crest_clearance_ft,crest_lat,crest_lon,crest_terr_ft,terr_max_ft,alt20_msl_ft,max_msl_over_ft,counterfactual_ft,class,climb_start_km_before,chord_km,in_km,n_sub,sl_terr_max_ft,act_terr_dem_ft,ap_start_km,ap_end_km,d_pre_km,day_traffic
406833:2026-05-29T11:52:09Z,PENN,trap,DR40,G-CHOE,GCHOE,EGNH,34.0,EGCJ,26.0,2026-05-29,610.7,53.7574,-1.9235,1202.5,1400.4,1717.7,2096.4,317.2,no climb,,28.4,30.0,1,1537.0,1537.0,58.4,31.4,99.2,76
4017db:2026-05-29T11:35:55Z,PENN,trap,C172,G-AWVA,GAWVA,EGCB,73.0,EGNE,91.0,2026-05-29,1351.0,53.5699,-1.8771,1537.0,1537.0,1504.7,3017.3,-32.4,reactive climb,6.0,29.7,30.7,1,1877.5,1877.5,16.4,50.3,28.8,76
a19155:2026-05-29T11:26:59Z,PENN,trap,TB20,N20TB,N20TB,EGLK,325.0,EGPJ,399.0,2026-05-29,1061.1,53.4571,-1.7163,1774.7,1774.7,2828.5,3038.5,1053.8,pre-planned high,,61.8,62.1,1,1876.1,1742.1,227.8,257.5,251.7,76
401be5:2026-05-31T16:22:40Z,PENN,trap,SUBA,G-BDFR,GBDFR,EGNS,52.0,EGCJ,26.0,2026-05-31,1550.7,53.743,-2.1026,1366.0,1408.4,2600.6,3018.5,1192.2,pre-planned high,,27.7,27.7,4,1537.0,1537.0,161.9,32.1,129.2,57
4077fa:2026-05-31T12:18:17Z,PENN,trap,TL30,G-CLFG,GCLFG,EGCJ,26.0,EGCB,73.0,2026-05-31,708.1,53.6097,-2.0043,1514.2,1514.2,2305.0,2482.7,790.8,no climb,,28.2,28.2,1,1548.4,1548.4,32.0,15.7,35.1,57
4077fa:2026-05-31T10:59:28Z,PENN,trap,TL30,G-CLFG,GCLFG,EGCB,73.0,EGCJ,26.0,2026-05-31,795.2,53.6131,-2.0022,1464.1,1464.1,1222.5,2337.8,-241.6,reactive climb,4.5,30.8,30.8,1,1548.4,1548.4,15.9,31.7,22.7,57
4cac97:2026-06-17T14:59:59Z,PENN,trap,DA62,EI-TCN,VOR09,EGKA,7.0,EGPD,215.0,2026-06-17,1110.2,53.4686,-1.738,1687.0,1687.0,2792.2,3816.3,1105.1,pre-planned high,,63.9,64.0,2,1742.1,1742.1,292.8,359.1,306.3,61
407d1e:2026-06-16T13:48:12Z,PENN,trap,RV7,G-RVSP,GRVSP,EGCB,73.0,EGCJ,26.0,2026-06-16,1509.1,53.6095,-2.003,1489.9,1489.9,850.1,3003.2,-639.8,proactive climb,21.6,31.1,31.1,1,1548.4,1548.4,16.0,31.1,23.1,48
40327f:2026-06-15T13:22:10Z,PENN,trap,DR40,G-BSSP,SYO02,EGOW,37.0,EGXY,228.0,2026-06-15,951.3,53.5753,-1.8864,1617.8,1617.8,2523.1,2781.8,905.4,no climb,,30.7,32.2,1,1877.5,1877.5,59.5,60.4,63.5,49
40327f:2026-06-15T09:03:55Z,PENN,trap,DR40,G-BSSP,SYO02,EGXY,228.0,EGOW,37.0,2026-06-15,1206.5,53.6126,-1.9386,1115.8,1452.8,2796.8,2918.3,1344.0,pre-planned high,,29.0,32.8,1,1877.5,1742.1,61.0,59.6,76.3,49
404918:2026-06-15T08:47:23Z,PENN,trap,C172,G-EGCD,GEGCD,EGGP,80.0,EGCJ,26.0,2026-06-15,1086.8,53.6487,-1.9831,1289.8,1521.4,2871.6,2964.0,1350.2,pre-planned high,,29.4,29.4,1,1548.4,1548.4,45.9,31.4,70.6,49
4018aa:2026-06-20T14:13:47Z,PENN,trap,C150,G-AYGC,GAYGC,EGNE,91.0,EGCB,73.0,2026-06-20,513.5,53.6392,-2.0405,1476.3,1476.3,2079.2,2381.7,602.8,no climb,,28.7,31.3,1,1548.4,1548.4,49.3,15.5,95.9,71
4034a2:2026-06-20T13:10:48Z,PENN,trap,P28A,G-BTRS,GBTRS,EGCB,73.0,EGCJ,26.0,2026-06-20,1092.7,53.6095,-1.9943,1409.4,1409.4,1762.8,3266.8,353.3,proactive climb,16.6,27.8,30.6,1,1604.1,1548.4,17.5,33.5,28.7,71
4016cb:2026-06-20T13:03:07Z,PENN,trap,C150,G-AVER,GAVER,EGCB,73.0,EGCB,73.0,2026-06-20,519.9,53.5955,-2.0656,1191.7,1732.3,2922.7,2641.4,1190.4,pre-planned high,,34.5,44.0,1,2024.7,1877.5,16.1,15.7,134.8,71
405fb0:2026-06-20T12:08:54Z,PENN,trap,RV8,G-GORV,GGORV,EGOW,37.0,EGCS,58.0,2026-06-20,1173.4,53.623,-1.995,1548.1,1548.1,2766.8,2769.8,1218.7,pre-planned high,,28.7,29.0,1,1548.4,1548.4,59.9,69.7,63.6,71
ac6db6:2026-06-19T14:14:29Z,PENN,trap,SR22,N90KB,N90KB,EGBG,469.0,EGCB,73.0,2026-06-19,490.0,53.4107,-1.924,1510.7,1604.4,2010.1,2655.3,405.7,proactive climb,15.1,27.6,46.4,1,1832.6,2052.2,89.9,15.6,121.1,78
